company,personcount
IBM,17
Hortonworks,16
Confluent,15
Databricks,13
Cloudera,10
GridGain,9
LinkedIn,9
DataStax,9
InMobi,8
Intel,7
Red Hat,6
Data Artisans,6
Yahoo,6
Microsoft,4
Gruter,4
Twitter,4
Facebook,4
Salesforce,4
eBay,3
Canonical Ltd.,3
Tirasa,3
NASA,2
KTH,2
Cloudsoft,2
Netflix,2
Google,2
Fitbit,2
Levi9,2
Apple,2
Google Summer of Code,2
NTT,2
Docker,2
Science+Computing AG,1
Capgemini Poland (Software Solutions Center),1
Citrix,1
Qentinel,1
Amazon,1
yuantiku.com,1
TU-Berlin,1
Unknown 3,1
Beijing Hadoou,1
Skyscanner,1
Lezhin Entertainmnet,1
UPV,1
Trend Micro,1
Dimension Data,1
SK Telecom,1
Haywood Associates,1
QuickMobile,1
Meituan,1
Talend,1
CloudOps,1
Schubergphilis,1
JDriven,1
Swisscom,1
Accenture,1
Japila Software,1
Unico,1
Quenda,1
Sixsq,1
Pivotal,1
unipro,1
Tencent,1
Freelancer,1
"Ampool, Inc.",1
Brocade,1
Unknown 1,1
Bounce Storage,1
Data Torrent,1
Ministere de la Defense,1
Shapeblue,1
Unknown 5,1
Streamsets,1
Avvo,1
Energized Work,1
Unknown 2,1
NTent,1
Polytechnic University Of Tirana,1
Uber,1
Simple Finance,1
Abiquo,1
Angeles University Foundation,1
Pandora,1
Oracle,1
Unknown 4,1
Radicalbit,1
Perforce,1
Mobigen 모비젠,1
Unknown 6,1
Univ. of Minnesota,1
Ali Baba,1
Mesosphere,1
Elementum,1
