"organization","score"
"Hortonworks",1075.17850760351
"Red Hat",889.73394938395
"Ampool, Inc.",430.402380952381
"IBM",419.982525807526
"Fitbit",371.00695970696
"Schubergphilis",340
"Cloudera",338.713356088356
"Confluent",256.732511932512
"Intel",181.295115995116
"Talend",174
"Yahoo",151.349913974914
"SK Telecom",121.493564768565
"Facebook",111.855627705628
"NASA",91.0111471861472
"Trend Micro",88
"Twitter",88
"Accenture",83.2976190476191
"Avvo",71.797496947497
"Apple",62.3878427128427
"NTent",48.9673742923743
"NTT",23.8507076257076
"LinkedIn",17.065873015873
"Ministere de la Defense",16.7020202020202
"Beijing Hadoou",6.37344877344877
"Salesforce",6.35238095238095
"Gruter",5.94761904761905
"Skyscanner",5.66872294372294
"yuantiku.com",3.5
"DataStax",1.33333333333333
"Abiquo",0
"Ali Baba",0
"Amazon",0
"Angeles University Foundation",0
"Bounce Storage",0
"Brocade",0
"Canonical Ltd.",0
"Capgemini Poland (Software Solutions Center)",0
"Citrix",0
"CloudOps",0
"Cloudsoft",0
"Data Artisans",0
"Data Torrent",0
"Databricks",0
"Dimension Data",0
"Docker",0
"eBay",0
"Elementum",0
"Energized Work",0
"Freelancer",0
"Google",0
"Google Summer of Code",0
"GridGain",0
"InMobi",0
"Japila Software",0
"JDriven",0
"KTH",0
"Levi9",0
"Lezhin Entertainmnet",0
"Meituan",0
"Mesosphere",0
"Microsoft",0
"Mobigen 모비젠",0
"Netflix",0
"Oracle",0
"Pandora",0
"Perforce",0
"Pivotal",0
"Polytechnic University Of Tirana",0
"Qentinel",0
"QuickMobile",0
"Radicalbit",0
"Science+Computing AG",0
"Shapeblue",0
"Simple Finance",0
"Sixsq",0
"Streamsets",0
"Swisscom",0
"Tencent",0
"Tirasa",0
"TU-Berlin",0
"Uber",0
"Unico",0
"Univ. of Minnesota",0
"Unknown 1",0
"Unknown 2",0
"Unknown 3",0
"Unknown 4",0
"Unknown 5",0
"Unknown 6",0
"UPV",0
