"organization","score"
"Hortonworks",0.712
"Cloudera",0.613793103448276
"IBM",0.60958904109589
"Confluent",0.593333333333333
"Intel",0.581699346405229
"Yahoo",0.559748427672956
"Avvo",0.542682926829268
"Facebook",0.536144578313253
"NTent",0.536144578313253
"Fitbit",0.532934131736527
"Red Hat",0.532934131736527
"SK Telecom",0.532934131736527
"NTT",0.526627218934911
"Accenture",0.511494252873563
"Apple",0.494444444444444
"LinkedIn",0.494444444444444
"Beijing Hadoou",0.489010989010989
"Ministere de la Defense",0.489010989010989
"Ampool, Inc.",0.486338797814208
"Amazon",0.483695652173913
"Pandora",0.483695652173913
"Pivotal",0.483695652173913
"Simple Finance",0.483695652173913
"Streamsets",0.483695652173913
"Swisscom",0.483695652173913
"Databricks",0.478494623655914
"Freelancer",0.478494623655914
"Japila Software",0.478494623655914
"Mesosphere",0.478494623655914
"Mobigen 모비젠",0.478494623655914
"Netflix",0.478494623655914
"QuickMobile",0.478494623655914
"Tencent",0.478494623655914
"Unknown 3",0.478494623655914
"Unknown 6",0.478494623655914
"Data Artisans",0.473404255319149
"KTH",0.473404255319149
"Radicalbit",0.473404255319149
"TU-Berlin",0.473404255319149
"Unknown 4",0.473404255319149
"Salesforce",0.470899470899471
"Gruter",0.463541666666667
"Trend Micro",0.461139896373057
"Twitter",0.461139896373057
"Canonical Ltd.",0.458762886597938
"Data Torrent",0.458762886597938
"Science+Computing AG",0.458762886597938
"yuantiku.com",0.456410256410256
"Talend",0.445
"Skyscanner",0.436274509803922
"Ali Baba",0.432038834951456
"InMobi",0.432038834951456
"Levi9",0.432038834951456
"Uber",0.432038834951456
"NASA",0.427884615384615
"eBay",0.421800947867299
"Elementum",0.421800947867299
"Meituan",0.421800947867299
"Unico",0.38695652173913
"Unknown 1",0.38695652173913
"Brocade",0.385281385281385
"Dimension Data",0.385281385281385
"Google",0.385281385281385
"Lezhin Entertainmnet",0.385281385281385
"Polytechnic University Of Tirana",0.385281385281385
"Qentinel",0.385281385281385
"Sixsq",0.385281385281385
"UPV",0.385281385281385
"DataStax",0.383620689655172
"Oracle",0.381974248927039
"Perforce",0.381974248927039
"Schubergphilis",0.364754098360656
"Citrix",0.358870967741935
"CloudOps",0.358870967741935
"Shapeblue",0.358870967741935
"Microsoft",0.349019607843137
"Energized Work",0.333333333333333
"JDriven",0.333333333333333
"Univ. of Minnesota",0.333333333333333
"Unknown 2",0.333333333333333
"Unknown 5",0.333333333333333
"Docker",0.316725978647687
"GridGain",0.316725978647687
"Capgemini Poland (Software Solutions Center)",0.310104529616725
"Tirasa",0.310104529616725
"Google Summer of Code",0.300675675675676
"Abiquo",0.270516717325228
"Angeles University Foundation",0.270516717325228
"Bounce Storage",0.270516717325228
"Cloudsoft",0.270516717325228
