organization,score
Hortonworks,57
IBM,45
Confluent,42
Cloudera,40
Yahoo,36
NTent,34
Facebook,33
SK Telecom,33
Intel,32
NTT,31
Avvo,28
Apple,27
Ministere de la Defense,26
Fitbit,25
Red Hat,24
Databricks,22
Freelancer,22
Japila Software,22
Mesosphere,22
Mobigen 모비젠,22
Netflix,22
QuickMobile,22
Tencent,22
Unknown 3,22
Unknown 6,22
"Ampool, Inc.",20
LinkedIn,20
Beijing Hadoou,18
Amazon,16
Pandora,16
Pivotal,16
Simple Finance,16
Streamsets,16
Swisscom,16
Salesforce,14
Accenture,13
Gruter,12
Trend Micro,12
Twitter,12
Canonical Ltd.,11
Data Torrent,11
Science+Computing AG,11
Brocade,9
Data Artisans,9
Dimension Data,9
Google,9
KTH,9
Lezhin Entertainmnet,9
Polytechnic University Of Tirana,9
Qentinel,9
Radicalbit,9
Sixsq,9
Skyscanner,9
TU-Berlin,9
Unknown 4,9
UPV,9
Schubergphilis,8
Talend,8
yuantiku.com,8
Levi9,7
Uber,7
Ali Baba,5
Energized Work,5
JDriven,5
Univ. of Minnesota,5
Unknown 2,5
Unknown 5,5
Abiquo,4
Angeles University Foundation,4
Bounce Storage,4
Citrix,4
CloudOps,4
Cloudsoft,4
DataStax,4
InMobi,4
NASA,4
Shapeblue,4
eBay,3
Elementum,3
Meituan,3
Unico,3
Unknown 1,3
Capgemini Poland (Software Solutions Center),2
Oracle,2
Perforce,2
Tirasa,2
Docker,1
Google Summer of Code,1
GridGain,1
Microsoft,1
